29,158,180,200,230,293,,, ,,,,,,,
29,129,158,162,180,181,200,230,293,,,,, ,,
29,39,129,158,162,181,188,214,230,293,340,,,,,
2,29,39,111,162,181,188,214,224,293,312,340,,,,
2,29,39,111,129,162,181,188,214,224,293,340,,,,
2,29,111,162,163,188,214,224,340,405,,,,,,
2,29,111,162,163,188,214,224,235,243,287,340,405,444,,
2,25,33,35,64,66,87,111,162,163,214,224,235,243,287, 
25,35,64,66,87,101,111,152,163,225,235,243,267,386,427,
25,35,64,87,101,111,152,163,177,224,225,243,267,386,411,
25,64,101,128,152,163,177,225,235,243,267,321,386,389,411,
25,64,101,128,152,163,177,202,225,226,235,243,267,273,321,
